state,title,body,created_at,updated_at
open,Delab Connect - analog Web3Modal,"### Summary

Our delab team has been developing a project called ""Delab Connect"" for a long time. This library allows you to connect to any TON wallets through 1 entry point. The library has over 700 installations and 20 stars on github.

I propose to upgrade this library to the web3modal level with customization and other parameters

Questbook redirected to the Footstep - https://questbook.app/dashboard/?grantId=0xe92b011b2ecb97dbe168c802d582037e28036f9b&chainId=10&proposalId=0x25f&isRenderingProposalBody=true

### Context

_No response_

### Goals

- Add color scheme selection
- Add ton connect 2.0 wallet list selection and customization
- Add support for embedding in native js and other non-react frameworks
- Add hooks
- Add work with toncenter
- Documentation and usage guides
- Example code

### Deliverables

- A fully functional analog web3modal
- Documentation and usage guides
- Example code and use cases to demonstrate the implementation's functionality

### Definition of Done

- [ ] Add color scheme selection
- [ ] Add ton connect 2.0 wallet list selection and customization
- [ ] Add support for embedding in native js and other non-react frameworks
- [ ] Add hooks
- [ ] Add work with toncenter
- [ ] Documentation and usage guides
- [ ] Example code

### Reward

- 3000 USD in TON

### Oriental Release Date

2 weeks - 1 month",2023-04-27T17:34:47Z,2023-05-25T17:17:52Z
open,Dart/Flutter SDK for TON,"### Summary

The Dart language is primarily used alongside the Flutter framework to build natively compiled, multi-platform applications from a single codebase. And it's best at making cross-platform mobile apps.

The ecosystem around this language can greatly benefit from a dedicated SDK to work with TON Blockchain, as there are many web3 developers who currently only interact with other blockchains for their apps. Developing this SDK will attract more developers to the TON ecosystem, expanding its reach and utility. This proposal outlines a development plan to create a comprehensive Dart/Flutter SDK for TON Blockchain.

### Context

At the moment there are no libraries to work with the TON blockchain using Dart/Flutter. To address this problem, the following features are planned to be developed as a part of the footstep:

- Implement Cell, Slice, Builder, and BOC (de)serialization
- Implement an RPC client to work with the TON network
- Implement support for popular structures from block.tlb
- Implement support of TON base64 addresses
- Implement support of HashmapE
- Implement support of TON & BIP39 Mnemonics
- Implement support of wallets (v3, v3r2, v4r2)
- Implement Ed25519 signing of transactions
- Implement for workings with Jettons and NFTs

### Goals

- Develop the Dart/Flutter SDK to work with the TON blockchain
- Provide the necessary documentation for quickly getting started with the SDK
- Continue maintaining the SDK after reaching the abovementioned goals

### Deliverables

- GitHub repository with Dart/Flutter SDK and examples of its usage
- Publicly available package on pub.dev for Dart/Flutter community to use
- Small video series of concrete and clear tutorials on real-world usage of the SDK

### Definition of Done

- [ ] GitHub repository with source code and necessary documentation to use it
- [ ] Package on pub.dev
- [ ] YouTube playlist with 2-3 video examples of SDK usage in Dart and Flutter

### Reward

- Standard TON Footstep NFT
- 3,500 USD in TON equivalent

### Oriental Release Date

I'm ready to work on this and deliver results until 14.05.2023",2023-04-26T10:55:22Z,2023-05-14T10:00:54Z
closed,Footstep: Rust SDK for TON,"PR for https://github.com/ton-society/ton-footsteps/issues/182

Done in:
https://github.com/ston-fi/tonlib-rs
https://github.com/ston-fi/tonlib-sys

Results achieved:
Developed Rust SDK for TON

TON wallet for reward:
EQBoTw0OzTblnzvV_nNVcSsQHlSykMg4pKrBbw-3ZiQrBb7D",2023-04-25T11:30:14Z,2023-04-26T12:12:43Z
closed,Telegram Web Apps low level communication library,"### Summary

This proposal is mostly related to making core Telegram Web Apps library more public and transparent. The result of proposal is some GitHub repository with a library which allows developers to use it as a base for their own SDK or other libraries.

### Context

**New update, new problems**

The recent Telegram update brought us some new feature related to Telegram Web Apps - users are now allowed to open web applications directly. This update allowed developers to stop redirecting user to their bot and open application directly, but it also brought some new problem. 

This became easier for attackers to deceive people and send them the links of fake bots. So, previously, an attacker had to create a fake bot and then, a fake application. Now, he can just make a copy of some application and send it to user, or just **insert a frame of other application** and try to abuse its vulnerabilities.

**What vulnerabilities?**

This is the second point, why this proposal is important. On the official Telegram's site in sections related to Telegram Web Apps, there is a section named [`Initializing Web Apps`](https://core.telegram.org/bots/webapps#initializing-web-apps), where Telegram developers offer the external developers to use their JavaScript file [`telegram-web-app.js`](https://telegram.org/js/telegram-web-app.js).

Spending some time to research the offered file, I've made some conclusions:

1. We need this file to be placed in some public source. It could be GitHub, for example. This will allow external developers to track file changes to know what changes to the file were done;
2. There is a code, which seems to be kept for testing purposes:
```
Line 140: // For now we don't restrict target, for testing purposes
Line 141: trustedTarget = '*'
```
**This code disables security mechanism to prevent sending data to untrusted targets**;

3. There is a code which seems to be not reached in default applications. For example, there is a code related to some launch parameter `tgWebAppDebug` which is not described anywhere. In this JavaScript file, this parameter is responsible for logging additional messages and replacing Telegram Web Apps `MainButton` component, which seems strange. Looks like it is some debug code for some specific developers;
4. Telegram's script does not validate the origin of parent iframe when receiving and processing events. This also opens a new door for the attacker;
5. We need this file to be a npm package, which could be installed and used;
6. We need this file to be written with the usage of TypeScript as long as a developer will have to find TypeScript typings by himself then.
7. The developers **community** can make this code more clear, faster and optimized.

**Conclusion**

We are not able to save all users from fraud, but we could make the life of attackers way harder by enabling all security features we can. We should also include the community vision on how the libraries of such type should be developed, as long as they are provided for community.

### Goals

- Create a public GitHub repository containing created library source code. The language of the library is TypeScript;
- Create a public npm package ready for production
- Create a detailed documentation on how library works and why the solutions made in the library could seem strange (in case they are)

### Deliverables

- Public npm package
- Public GitHub repository with source code
- Library documentation

### Definition of Done

[//]: <> (Checked ✅. Unchecked ⬜)

#### ⬜ GitHub repository with source code created

#### ⬜ npm package is published

#### ⬜ Library documentation is created

### Reward

Task is almost completed and I am not going to request any reward, unless committee wants to make a reward for it. I created this proposal just to get committee and community approve that we need it. 

### Deadline

01.06.2023",2023-04-22T14:13:06Z,2023-04-30T09:31:32Z
open,Ton Developers Program: Footsteps,"### Summary

The two footsteps covered in this technical specification are:

- **Backend and Frontend Development for Users and Admin Panel**: This step involves creating a robust backend and frontend system that caters to the needs of both users and administrators. It includes the development of user profiles, developer rankings, hackathon and event integration, and bot integration for users. The admin panel will focus on user management, SBT token management, activity and achievement management, notification management, and reporting and analytics.
- **Bot Development and SBT Minting System**: This step focuses on building a versatile bot that handles user registration, account management, notifications, and integration with the Ton Developers Program system. Additionally, it involves the development of the SBT minting system, which will be integrated into the existing admin panel. This system will allow authorized users to mint SBT tokens for various activities and events, working seamlessly with the existing features of the admin panel and providing a user-friendly interface for managing the minting process.

These two footsteps aim to create a comprehensive system that supports the Ton Developers Program by motivating developers to actively participate in the TON ecosystem and providing an efficient, secure, and accessible platform for managing users, SBT tokens, and related activities.

The development of a comprehensive backend and frontend system for users, the admin panel is crucial for the Ton Developers Program System. This footstep aims to create a seamless and user-friendly experience for developers, trusted activists, and other users interacting with the platform, while ensuring security, scalability, and performance.

The development of a Ton Developers Program Bot and SBT Minting System is crucial for the Ton Developers Program, as it will provide a seamless way to reward and engage developers within the community. By creating a bot for handling user registration, notifications, and rankings, along with a secure and user-friendly minting system, developers will be encouraged to actively participate and contribute to the TON ecosystem.

**Complete information about the technical task you can find here**:
https://docs.google.com/document/d/1wfO_JAZ56NX_Ffl02YvUVEjrQyqypYVgEN_95M3GMyQ/edit#


### Context

The Ton Developers Program System requires a robust backend and frontend infrastructure to support user profiles, developer rankings, event integration, and SBT token management. Additionally, an admin panel is needed for trusted activists and other authorized users to manage the platform effectively. Furthermore, an SBT Minting System must be integrated into the admin panel for efficient minting of SBT tokens for various activities and events.

The Ton Developers Program aims to foster active participation from developers in the TON ecosystem by providing rewards in the form of SBT tokens for various activities, such as completing footstep tasks, contributing to open-source projects, writing articles, and delivering public presentations. The program currently lacks a well-integrated bot and minting system to facilitate these rewards and developer engagement.

This proposal aims to create a Ton Developers Program Bot and SBT Minting System that will be integrated with the Ton Developers Program, making it easier to manage user rewards and engagement while promoting a vibrant and active developer community.

### Goals

### Step 1

- Develop a secure, scalable, and reliable backend and frontend infrastructure for users, admin panel.
- Create user-friendly interfaces for user profiles, developer rankings, event and achievements integration.
- Implement an admin panel with comprehensive features and functionality for trusted activists and other authorized users.
- Integrate the SBT Minting System seamlessly into the admin panel to enable efficient SBT token minting processes.

### Step 2

- Develop an Ton Developers Program Bot with features for user registration, notifications, and rankings
- Create a secure and user-friendly SBT Minting System integrated with the admin panel
- Ensure the bot and minting system are seamlessly integrated with the Ton Developers Program
- Provide comprehensive documentation and guides for using the bot and minting system

### Deliverables

### Step 1

- A fully functional backend and frontend system for users, admin panel, and the SBT Minting System.
- User-friendly interfaces for user profiles, developer rankings, event integration, and SBT token management.
- A comprehensive admin panel with features and functionalities for trusted activists and other authorized users.
- A seamlessly integrated SBT Minting System within the admin panel.
- Documentation for APIs, usage guides, and best practices.
- Test coverage to ensure reliability, performance, and security.
### Step 2

- A fully functional Ton Developers Program Bot with features for user registration, notifications, and rankings
- A secure and user-friendly SBT Minting System integrated with the admin panel
- Seamless integration with the Ton Developers Program backend and frontend
- Comprehensive documentation and guides for using the bot and minting system

### Definition of Done

### Step 1

- [x] The backend and frontend system for users, admin panel is developed and meets the requirements outlined in the technical specifications.
- [x] User-friendly interfaces are created for user profiles, developer rankings, event integration.
- [x] A comprehensive admin panel is implemented with necessary features and functionalities for trusted activists and other authorized users.
- [x] Documentation for APIs, usage guides, and best practices is provided and accessible to users.
- [x] Test coverage ensures reliability, performance, and security.

### Step 2

- [x] - Ton Developers Program Bot is developed with all required features and successfully integrated with the Ton Developers Program System
- [x] - The SBT Minting System is securely implemented and integrated with the admin panel
- [x] - Both the bot and minting system are seamlessly integrated with the Ton Developers Program backend and frontend
- [x] - Comprehensive documentation and guides are provided for using the bot and minting system

### Reward

Step 1: 2500 TON
Step 2: 2500 TON

Standard TON Footstep NFT

### Deadline

1 month",2023-04-21T13:19:09Z,2023-05-29T13:45:13Z
closed,TON.app v2 - the new and only marketplace of the TON apps.,"### Summary

We propose to create an open-source TON App website with enhanced functionality to support multiple categories and better SEO. The current version of TON App website lacks these features and is losing traffic as a result. Our goal is to develop a self-listing platform that allows anyone to list their TON projects instantly, increasing traffic and liquidity on TON. We will redesign the website's interface to fit the TON theme and ensure that the community approves the design scheme before proceeding.


### Context

_No response_

### Goals

Our goal is to develop and deliver a functional TON App website within 1 week(+1 is an additional week for emergency cases). The website will include a landing page, categories page, personal profile with the ability to add or edit projects, and a website authentication feature using TON Connect V2 and an additional password for security purposes when users edit their projects. Our feedback system will provide fast approvals from admins while avoiding scam comments, and users will be able to upload up to three images per feedback comment.

### Deliverables

Our team will deliver everything outlined in the list of goals(1 week(+1 is an additional week for emergency cases)), including a functional TON App website that supports multiple categories and has improved SEO. The website's interface will be redesigned to fit the TON theme, and the authentication system will use TON Connect V2 with an additional password for security purposes. Our feedback system will provide fast approvals from admins while avoiding scam comments, and users will be able to upload up to three images per feedback comment.


### Definition of Done

The project will be considered complete when it is available on the hosted website and is tested/submitted by a few validators. The website will be open-source, allowing the community to contribute to its development and improve its functionality over time.

### Reward

We propose a reward of $30,000 in $TON for the successful completion of the project. This reward will go to the development team and will be spent on the marketing purposes of [The Old Castle Defense](https://theoldcastle.xyz/?referral=ad479c11) Play-To-Earn PvP Game. The reward will help us to move further and to transfer our Game development studio to TON as well. We're going to make a lot of updates regarding the future of the game as traffic will only grow.

### Deadline

2 Weeks since the approval.",2023-04-21T10:56:43Z,2023-05-01T07:31:56Z
closed,DeDust v2 API for Python,"### Summary

I am developing a Python wrapper for DeDust v2 DEX API. The wrapper will simplify the integration of the DeDust API into Python-based applications and enable developers to access the API's features more easily. The code has already been published on GitHub: https://github.com/ClickoTON-Foundation/dedust.

### Context

DeDust is a decentralized exchange. It offers users a range of functions, including providing liquidity and trading. However, integrating the Deduct v2 DEX API into Python-based applications can be difficult and time-consuming, which may deter developers from using the platform to retrieve data.

### Goals

The main goals of this TON Footstep are to:

 • Simplify the integration of DeDust API into Python-based applications
 • Increase the accessibility of DeDust to developers
 • Improve the overall user experience for DeDust users

### Deliverables

- [ ] Publish wrapper on PyPI.
- [ ] Examples of using.
- [ ] Synchronous wrapper.


### Definition of Done

- [x] Basic functionality.
- [x] Code published on GitHub. (https://github.com/ClickoTON-Foundation/dedust) 

### Reward

* Standard TON Footstep NFT
* 50 USD in TON

### Deadline

Within a month.",2023-04-20T20:53:05Z,2023-04-24T11:41:31Z
open,TON Onboarding Youtube Shorts Series,"![](https://telegra.ph/file/359d36b0a0d9e5f6afe80.png)
### Summary

**[QDev Studio](https://t.me/qdevstudio)** propose to create a series of user-friendly **TON onboarding short videos** that cater to all people, regardless of their prior knowledge, using engaging animations and educational materials. These short videos will be accessible to a global audience with subtitles in multiple languages (Ukrainian, Russian, Czech, Romanian, Spanish, French, and Portuguese) and will promote TON's growth by attracting new users from the broader cryptocurrency community. Our aim is to create a unified, **easy-to-understand knowledge base**.

### Context

Currently, there is a noticeable gap in the TON ecosystem when it comes to easily digestible video materials that cater to individuals with varying levels of expertise. Our studio, which specializes in modern animated videos and educational materials, is eager to bridge this gap by producing a series of engaging TON onboarding short videos. We have already created two videos for TON, which can be found on our [YouTube channel](https://youtube.com/@qpwetech). Our team possesses a deep understanding of TON, with @qpwedev successfully developing a [channel about TON](https://t.me/qpwethinks) boasting over 500+ subscribers, including strong CIS, Chinese, and Indonesian communities, as well as [several non-profit ecosystem projects](https://t.me/qpwethinks/284).

### Our advisers
![](https://telegra.ph/file/4c0b975a1a2c7f3d0ca8f.png)
@talkol (Founder at [orbs.com](https://orbs.com) , TON Ambassador, Contributor)
@SwiftAdviser (Developer Onboarding @ TON Foundation)
@xssnick (Massive TON contributor)
@goreactdev (FoxTails co-founder, TON Contributor)
@Gusarich (TON Сontributor)
@dvlkv (CTO at [tonwhales.com](https://tonwhales.com), TON Contributor)
[@nikralayli](https://t.me/larkenization) (Researcher and SMM Expert: Adept at User Attraction and Engagement)
@data-will-be-here AKA **sd** (Developer, TON Enthusiast, and Passionate Blogger)
@vplotvinov (Developer, Tonstarter)
[@andykozik](https://t.me/andykozik) (IT Entrepreneur, co-founder of [Lemons.studio](https://lemons.studio) and [Mutanttoadz.org](https://mutanttoadz.org))

### Goals

- Successfully produce and publish a series of thirteen short TON onboarding videos on our YouTube channel to educate and engage viewers.
- Ensure that the videos reach a global audience by providing high-quality voiceovers and subtitles in multiple languages.
- Promote existing TON infrastructure projects by integrating native ads within the videos
- Receive positive feedback from the community, demonstrating the effectiveness and value of the video series.

### Deliverables
![](https://telegra.ph/file/0566b8bfffe6f91081b36.png)
Each short video will have a duration of 50-60 seconds, based on [research](https://twitter.com/paddyg96/status/1646898356419981315?s=46&t=ZnnmIJ_klrSQpKEVwhavsQ) indicating this to be the optimal length for retaining viewer attention while delivering essential information without any unnecessary filler content.

Upcoming Thirteen Short Video Plan:

- Buying TON: A Step-by-Step Guide
- TON vs SOL and ETH: Key Advantages
- How to store TON? Best Practices
- Understanding Staking in Crypto
- Using a Blockchain Explorer
- DEX Explained: Its Purpose and Necessity
- Blockchain Bridges: An Introduction
- NFTs: What They Are and Why They Matter
- Buying & Selling NFTs: The Ultimate Guide
- Token Minting: How It's Done
- Tact Explained in 60 Seconds
- TON Footsteps Program: All You Need to Know
- Why TON is More than Just a Blockchain

### Definition of Done

- Thirteen short onboarding videos have been produced and published on our YouTube channel.
- All videos feature high-quality voiceovers and subtitles in the specified languages.
- The videos include integrated native ads for existing TON infrastructure projects.
- Positive feedback has been received from the community.

### Video Production Workflow and Resource

- Scriptwriting and Concept Development (2 hours)
  - Crafting a compelling narrative and shaping the overall idea
- Advisor Consultations and Advisory Discussions (30 minutes)
- Ensuring Technical Accessibility for Non-expert Audiences (30 minutes)
  - Simplifying complex concepts for a broader audience
- Animation and Visual Design in Figma (6 hours)
  - Producing engaging visuals and graphic elements for the video
- Storyboarding and Visual Development (1 hours)
  - Creating a visual roadmap of the script and scene progression
- Voiceover Recording (20 minutes)
  - Capturing high-quality audio narration 
- Music, Animation and Sound Effects Licensing (30 minutes)
  - Selecting and buying suitable audio, video assets
- Video Editing and Post-Production (30 minutes)
  - Merging visual and audio components, refining transitions, and perfecting the final video
- Quality Assurance, Revisions, and Error Correction (30 minutes)
  - Collaborating with advisers to review the video and implement necessary changes
- Subtitle Translation (15 minutes)
  - Providing multilingual subtitles for increased accessibility
- Video Description and Tag Writing (10 minutes)
  - Composing an enticing and SEO-optimised video description and tags
- Project Management and Team Communication (1 hours)
  - Ensuring smooth collaboration and information flow among team members
- Contingency Fund (N/A)
  - Allocating resources for unexpected costs and challenges
 
### Reward

- Standard TON Footstep NFT
- $607.5/Video

### Oriental Release Date

For **13** short videos needing **~175.5 hours**, working **6 hours** daily, it'll take **~29.5 days**. With holidays and extra time, expect around **~50 days**.",2023-04-19T15:07:26Z,2023-05-04T21:34:01Z
open,TON Onboarding Youtube Video Series,"![](https://telegra.ph/file/46fdc748a952e21c416a4.png)

### Summary

**[QDev Studio](https://t.me/qdevstudio)** propose to create a series of user-friendly **TON onboarding videos** that cater to all people, regardless of their prior knowledge, using engaging animations and educational materials. These videos will be accessible to a global audience with subtitles in multiple languages (Ukrainian, Russian, Czech, Romanian, Spanish, French, and Portuguese) and will promote TON's growth by attracting new users from the broader cryptocurrency community. Our aim is to create a unified, **easy-to-understand knowledge base**.

### Context

Currently, there is a noticeable gap in the TON ecosystem when it comes to easily digestible video materials that cater to individuals with varying levels of expertise. Our studio, which specialises in modern animated videos and educational materials, is eager to bridge this gap by producing a series of engaging TON onboarding videos. We have already created two videos for TON, which can be found on our [YouTube channel](https://youtube.com/@qpwetech). Our team possesses a deep understanding of TON, with @qpwedev successfully developing a [channel about TON](https://t.me/qpwethinks) boasting over 500+ subscribers, including strong CIS, Chinese, and Indonesian communities, as well as [several non-profit ecosystem projects](https://t.me/qpwethinks/284).

### Our advisers
![](https://telegra.ph/file/989662aa83eeedec4dca7.png)
@talkol (Founder at [orbs.com](https://orbs.com) , TON Ambassador, Contributor)
@SwiftAdviser (Developer Onboarding @ TON Foundation)
@xssnick (Massive TON contributor)
@goreactdev (FoxTails co-founder, TON Contributor)
@Gusarich (TON Сontributor)
@dvlkv (CTO at [tonwhales.com](https://tonwhales.com), TON Contributor)
[@nikralayli](https://t.me/larkenization) (Researcher and SMM Expert: Adept at User Attraction and Engagement)
@data-will-be-here AKA **sd** (Developer, TON Enthusiast, and Passionate Blogger)
@vplotvinov (Developer, Tonstarter)
[@andykozik](https://t.me/andykozik) (IT Entrepreneur, co-founder of [Lemons.studio](https://lemons.studio) and [Mutanttoadz.org](https://mutanttoadz.org))

### Goals

- Produce and publish a series of five TON onboarding videos on our YouTube channel to educate and engage viewers.
- Ensure that the videos reach a global audience by providing high-quality voiceovers and subtitles in multiple languages.
- Promote existing TON infrastructure projects by integrating native ads within the videos.
- Receive positive feedback from the community, demonstrating the effectiveness and value of the video series.

### Deliverables
![](https://telegra.ph/file/9260359d42e2f481f0505.png)
Each video will have an approximate duration of 10 minutes, focusing solely on essential information for the user, without any unnecessary filler content.

Upcoming Five Video Plan:
- Types of Cryptocurrency Wallets and Seed Phrase Importance
   Why wallets are needed and the different types: Custodial / Non-custodial / Cold / Hot / Hardware (with examples of specific wallets). Seed phrases, how to store them, and why they are important. Why wallets have different versions.

 - Exploring Blockchain Transactions with Explorers
Analysis of what a blockchain explorer is and how to use it. Examination of basic transactions (exchange on a DEX, transferring NFTs, etc.). Explorers in testnets.

- Cryptocurrency Security and Recognising Scams
Security, potential attacks (forgery of NFTs, contracts, entering seed phrases). Examples of real scams.

- Understanding Addresses in Cryptocurrency Networks
Explanation of how addresses are structured. Who and how they are assigned. Different forms of addresses.

- Introduction to Testnets and Their Usage
What is a testnet, why it is needed, and how to use it. Converting a wallet to testnet and replenishing with test coins.

### Definition of Done

The proposal will be considered complete and successful when:

- Five onboarding videos has been produced and published on our YouTube channel.
- All videos have high-quality voiceovers and subtitles in the specified languages.
- The videos have integrated native ads for existing TON infrastructure projects.
- There is a positive feedback from the community.

### Comprehensive Video Production Workflow and Resource

- Analysing Similar Videos (30 minutes)
  - Reviewing comparable content to pinpoint pros and cons, ensuring a superior outcome
- Scriptwriting and Concept Development (5 hours)
  - Crafting a compelling narrative and shaping the overall idea
- Advisor Consultations and Advisory Discussions (2 hours)
- Ensuring Technical Accessibility for Non-expert Audiences (1 hours)
  - Simplifying complex concepts for a broader audience
- Animation and Visual Design in Figma (16 hours)
  - Producing engaging visuals and graphic elements for the video
- Storyboarding and Visual Development (3 hours)
  - Creating a visual roadmap of the script and scene progression
- Voiceover Recording (2 hours)
  - Capturing high-quality audio narration 
- Music, Animation and Sound Effects Licensing (2 hours)
  - Selecting and buying suitable audio, video assets
- Video Editing and Post-Production (2 hours)
  - Merging visual and audio components, refining transitions, and perfecting the final video
- Quality Assurance, Revisions, and Error Correction (2 hours)
  - Collaborating with advisers to review the video and implement necessary changes
- Subtitle Translation (1 hours)
  - Providing multilingual subtitles for increased accessibility
- Thumbnail Design (1 hours)
  - Crafting an attention-grabbing and informative thumbnail image
- Video Description and Tag Writing (30 minutes)
  - Composing an enticing and SEO-optimised video description and tags
- Project Management and Team Communication (2 hours)
  - Ensuring smooth collaboration and information flow among team members
- Contingency Fund (N/A)
  - Allocating resources for unexpected costs and challenges

- Software to Buy
  - [Screenstory.io](https://www.screenstory.io/)
  - TBA

### Reward

- Standard TON Footstep NFT
- $1800/Video

### Deadline

For **5** videos needing **~200 hours**, working **6 hours** daily, it'll take **~33 days**. With holidays and extra time, expect around **~50 days**.",2023-04-19T14:47:43Z,2023-05-04T21:34:14Z
closed,ADNL over UDP for Node.JS,"### Summary

The development of an ADNL over UDP implementation is crucial for the TON ecosystem, as it provides a secure, efficient, and reliable communication protocol between nodes. By creating an ADNL over UDP implementation, developers will be able to easily integrate this protocol into their projects and improve the overall performance and security of their applications.

### Context

ADNL (Abstract Datagram Network Layer) is an essential protocol for TON, which enables secure and efficient communication between nodes. Currently, there is a lack of an easy-to-use implementation of ADNL over UDP, which makes it difficult for developers to adopt this protocol and leverage its benefits.

This proposal aims to create an ADNL over UDP implementation, which will make it easier for developers to incorporate ADNL into their projects and improve the overall performance and security of the TON ecosystem.

### Goals

* Develop an ADNL over UDP implementation that adheres to TON standards
* Ensure the implementation is secure, efficient, and reliable
* Create a well-documented API that is easy for developers to understand and integrate
* Provide example code and use cases to help developers get started with the implementation

### Deliverables

* A fully functional ADNL over UDP implementation
* API documentation and usage guides
* Example code and use cases to demonstrate the implementation's functionality
* Test coverage to ensure the implementation's reliability and performance
* ADNL client will allow communication between nodes: developers can use ADNL as a transport protocol in their servers. This can be done by few lines of code

### Definition of Done

- [x] The ADNL over UDP implementation is developed and meets TON standards
- [x] API documentation and usage guides are created and accessible to developers
- [x] Example code and use cases are provided to help developers integrate the implementation into their projects
- [x] Test coverage ensures the implementation's reliability and performance

### Reward

* Standard TON Footstep NFT
* 3840 USD in TON

### Deadline

2 weeks",2023-04-18T20:02:14Z,2023-05-24T10:10:49Z
closed,Access control via NFT and SBT,"### Summary

This TON Footstep proposal aims to create a decentralized solution for renting and borrowing NFTs and SBTs to facilitate access management in organizations or companies. The solution will consist of a smart contract and a Telegram bot that allows administrators to set up the rental parameters and manage access to specific chats or channels for a limited time.

### Context

Currently, organizations and companies need a flexible and secure way to grant temporary access to their employees for specific chats and channels. With the growing popularity of NFTs and SBTs in access management, there is a need for a system that allows administrators to rent and borrow these tokens to manage user access to different resources within their organization. This proposal aims to address this need by developing a smart contract and Telegram bot that can automate the process of renting and borrowing NFTs and SBTs.

### Goals

* Develop a smart contract to manage the renting and borrowing of NFTs and SBTs.
* Create a Telegram bot to interact with the smart contract, enabling administrators to set up rental parameters and manage user access.
* Ensure seamless integration of the smart contract and Telegram bot with existing group chats and channels.
* Provide an open GitHub repository with the necessary functionality and basic tests.

### Deliverables

* A fully functional smart contract for renting and borrowing NFTs and SBTs.
*  A Telegram bot for administrators to set up rental parameters and manage user access.
* Complete documentation and guidelines on using the smart contract and Telegram bot.
* An open GitHub repository with the implemented solution, including source code, basic tests, and instructions for deployment.

### Definition of Done

- [ ] The open GitHub repository is published with complete source code, basic tests, and deployment instructions.
- [ ] The smart contract is developed and thoroughly tested for managing the renting and borrowing of NFTs and SBTs.
- [ ] The Telegram bot is created and can interact with the smart contract, allowing administrators to set up rental parameters and manage user access.
- [ ] The smart contract and Telegram bot are seamlessly integrated with existing group chats and channels.


### Reward

* Standard TON Footstep SBT
* 1250$ in TON equivalent

### Deadline

3-4 weeks from start of the development",2023-04-17T16:43:28Z,2023-05-21T11:49:22Z
open,SBT Minter telegram bot,"### Summary

A telegram bot that provides a user-friendly interface to interact with SBT minting to simplify the process of creating SBT awards.

### Context

Right now is it a problem for organizers to create NFT awards for various events. They have to turn to third-party developers to solve this problem. Our task is to make solution, that will automates process of minting new SBT-awards!

### Goals

We need to create a telegram bot, with such flows:

New collection flow:
- Bot asks user to upload the cover image 
- Bot asks user to upload the collection image
- Bot asks user to enter the collection name
- Bot asks user to enter the collection description
- Bot asks user to enter the item name (it will be the same for all items + #index)
- Bot asks user to enter the item description
- Bot asks user to upload the item image (image property in NFT metadata)
- Bot asks user to upload a file containing addresses (separated by newlines) that should receive NFTs
- Bot uploads images to storage, creates collection and item manifests and uploads them, then creates a ton:// link that send necessary amount of TON to wallet of the telegram bot. Upon receipt of funds the wallet begins to mint SBT items

Existing collection flow:
- Bot asks user to enter the existing collection address
- Bot checks if the collection exists and is compatible with the bot
- Bot shows how the previous batch of items was minted (name, description, image), asks the user if the items should stay the same
- If not, bot asks the user to enter new item name, new item description, and new item image
- Bot asks user to upload a file containing addresses (separated by newlines) that should receive NFTs
- Bot uploads item image to storage (if it was changed), creates item manifest (if any item properties were changed) and uploads it, then creates a ton:// link that will send necessary amount of TON to the wallet of the telegram bot. Which, in turn, begins to mint new items.

Superadmin flow:
- /add - add new admin, that will be able to use bot
- /list - see all admins of the bot
- /delete - delete an admin by his ID

Use s3 as file storage(that will be paid by TON Foundation)

### Deliverables

- Create well-working SBT Minter telegram bot


### Definition of Done

- [ ] Hosted & tested telegram bot
- [ ] Code reviewed and hosted on github

### Reward

- Standart TON Footstep SBT
- 2000$ in TON

Deadline: 3 weeks from start of the development",2023-04-16T21:35:28Z,2023-04-28T10:54:51Z
closed,TON Connect 2 for Python,"### Summary

We are making a library for using TON Connect in Python.

https://github.com/ClickoTON-Foundation/tonconnect

### Context

With our library, Python developers will be able to implement TON into their applications. 

TON Connect provides the ability to:
1. Receive the user's wallet address. 
2. Send transaction requests.
3. Sign messages.

### Goals

* Let Python developers use TON Connect in their applications.

### Deliverables

- [ ] Signing data.
- [ ] Asynchronous and synchronous wrapper.
- [ ] Refactoring and more user-friendly.
- [ ] Documentation.

### Definition of Done

- [x] Connection to HTTP Bridge.
- [x] Сonnecting and confirming the wallet address.
- [x] Almost ready transaction confirmations.
- [x] The code is published on GitHub.

### Reward

* Standard TON Footstep NFT
* 750 USD in TON",2023-04-14T10:49:53Z,2023-04-19T09:44:24Z
closed,Remove the requirement to open pull requests to the Hall of Fame,"At the moment, those who complete Footsteps have to open Pull Requests after each completed work.
This may not be an obvious point for beginners, which scares off potential contributors.
And those contributors who have never worked with Github (for example, if the Footstep is not about development) will not be able to open PR correctly at all.

I propose to transfer the duty of adding users to the Hall of Fame from the users themselves to the committee.
TON wallet address for rewards may be sent in comments of the Footstep issue.",2023-04-14T06:27:13Z,2023-05-18T12:01:37Z
